[12:13:25] === Stage 2 von ckpt_9000000 | 20M Steps | lr=1e-5 | 512x512 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1_checkpoints/ckpt_9000000_steps
  model params: 622,607

  step=15104832 | eps/s=  3497 | success=  0.5% | miss= 98.3% | elapsed=4319.8s
  step=15204864 | eps/s=  3495 | success=  2.8% | miss= 90.3% | elapsed=4350.0s
  step=15304896 | eps/s=  3496 | success=  6.2% | miss= 84.1% | elapsed=4378.1s
  step=15404928 | eps/s=  3496 | success=  9.7% | miss= 82.9% | elapsed=4406.1s
  step=15504960 | eps/s=  3497 | success= 13.7% | miss= 78.8% | elapsed=4434.0s
  step=15604992 | eps/s=  3497 | success= 12.6% | miss= 79.0% | elapsed=4462.3s
  step=15705024 | eps/s=  3498 | success=  7.2% | miss= 84.4% | elapsed=4490.0s
  step=15805056 | eps/s=  3499 | success=  0.0% | miss= 87.3% | elapsed=4517.4s
  step=15905088 | eps/s=  3499 | success=  0.0% | miss= 78.9% | elapsed=4545.0s
  step=16005120 | eps/s=  3501 | success=  0.0% | miss= 78.6% | elapsed=4572.2s
  step=16105152 | eps/s=  3501 | success=  0.0% | miss= 79.1% | elapsed=4599.8s
  step=16205184 | eps/s=  3500 | success=  0.0% | miss= 79.1% | elapsed=4630.2s
  step=16305216 | eps/s=  3501 | success=  0.0% | miss= 78.8% | elapsed=4657.4s
  step=16405248 | eps/s=  3502 | success=  0.0% | miss= 80.1% | elapsed=4684.7s
  step=16505280 | eps/s=  3503 | success=  0.0% | miss= 79.6% | elapsed=4712.1s
  step=16605312 | eps/s=  3503 | success=  0.0% | miss= 80.5% | elapsed=4739.8s
  step=16705344 | eps/s=  3504 | success=  0.0% | miss= 80.4% | elapsed=4767.3s
