nohup: ignoring input
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step=12804096 | eps/s=  2783 | success= 11.7% | miss= 19.3% | elapsed=4600.5s
  step=12904128 | eps/s=  2782 | success= 11.9% | miss= 18.5% | elapsed=4638.3s
  step=13004160 | eps/s=  2782 | success= 12.1% | miss= 17.3% | elapsed=4674.8s
  step=13104192 | eps/s=  2781 | success= 12.3% | miss= 17.4% | elapsed=4712.7s
  step=13204224 | eps/s=  2781 | success= 12.5% | miss= 17.3% | elapsed=4748.5s
  step=13304256 | eps/s=  2779 | success= 13.0% | miss= 17.9% | elapsed=4787.8s
  step=13404288 | eps/s=  2780 | success= 13.2% | miss= 17.1% | elapsed=4821.3s
  step=13504320 | eps/s=  2781 | success= 13.3% | miss= 16.2% | elapsed=4856.7s
  step=13604352 | eps/s=  2781 | success= 14.0% | miss= 17.1% | elapsed=4892.4s
  step=13704384 | eps/s=  2781 | success= 14.2% | miss= 16.2% | elapsed=4927.2s
  step=13804416 | eps/s=  2783 | success= 14.4% | miss= 16.8% | elapsed=4960.7s
  step=13904448 | eps/s=  2784 | success= 14.2% | miss= 19.0% | elapsed=4994.2s
  step=14004480 | eps/s=  2785 | success= 14.0% | miss= 16.5% | elapsed=5028.1s
  step=14104512 | eps/s=  2787 | success= 14.2% | miss= 15.4% | elapsed=5061.6s
  step=14204544 | eps/s=  2788 | success= 14.2% | miss= 13.9% | elapsed=5095.3s
  step=14304576 | eps/s=  2787 | success= 14.6% | miss= 13.7% | elapsed=5131.9s
  step=14404608 | eps/s=  2789 | success= 15.3% | miss= 15.7% | elapsed=5165.5s
  step=14504640 | eps/s=  2790 | success= 15.6% | miss= 15.1% | elapsed=5199.1s
  step=14604672 | eps/s=  2791 | success= 16.1% | miss= 13.6% | elapsed=5232.9s
  step=14704704 | eps/s=  2792 | success= 16.1% | miss= 12.9% | elapsed=5266.6s
  step=14804736 | eps/s=  2793 | success= 16.0% | miss= 11.7% | elapsed=5300.4s
  step=14904768 | eps/s=  2794 | success= 16.4% | miss= 12.9% | elapsed=5334.0s
  step=15004800 | eps/s=  2795 | success= 16.8% | miss= 12.7% | elapsed=5367.5s
  step=15104832 | eps/s=  2797 | success= 16.7% | miss= 12.0% | elapsed=5400.7s
  step=15204864 | eps/s=  2796 | success= 16.8% | miss= 10.9% | elapsed=5437.9s
  step=15304896 | eps/s=  2797 | success= 17.4% | miss= 11.2% | elapsed=5471.5s
  step=15404928 | eps/s=  2798 | success= 18.2% | miss= 12.5% | elapsed=5504.9s
  step=15504960 | eps/s=  2799 | success= 18.2% | miss= 12.7% | elapsed=5538.9s
  step=15604992 | eps/s=  2799 | success= 17.6% | miss= 11.5% | elapsed=5574.4s
  step=15705024 | eps/s=  2799 | success= 18.1% | miss= 11.3% | elapsed=5610.2s
  step=15805056 | eps/s=  2799 | success= 18.6% | miss= 10.2% | elapsed=5646.1s
  step=15905088 | eps/s=  2799 | success= 18.7% | miss= 11.0% | elapsed=5682.5s
  step=16005120 | eps/s=  2799 | success= 19.3% | miss= 11.2% | elapsed=5718.3s
  step=16105152 | eps/s=  2799 | success= 19.3% | miss= 11.3% | elapsed=5754.6s
  step=16205184 | eps/s=  2798 | success= 19.0% | miss=  9.7% | elapsed=5791.4s
  step=16305216 | eps/s=  2799 | success= 19.6% | miss=  9.6% | elapsed=5825.0s
  step=16405248 | eps/s=  2800 | success= 19.8% | miss=  9.7% | elapsed=5858.9s
  step=16505280 | eps/s=  2800 | success= 19.9% | miss=  9.1% | elapsed=5893.7s
  step=16605312 | eps/s=  2802 | success= 20.4% | miss=  8.9% | elapsed=5926.5s
  step=16705344 | eps/s=  2802 | success= 20.3% | miss=  8.6% | elapsed=5961.0s
  step=16805376 | eps/s=  2803 | success= 20.8% | miss=  8.8% | elapsed=5994.9s
  step=16905408 | eps/s=  2804 | success= 21.1% | miss=  8.2% | elapsed=6028.0s
  step=17005440 | eps/s=  2805 | success= 21.3% | miss=  8.3% | elapsed=6062.8s
  step=17105472 | eps/s=  2803 | success= 21.6% | miss=  9.0% | elapsed=6102.3s
  step=17205504 | eps/s=  2804 | success= 21.8% | miss=  9.3% | elapsed=6136.5s
