[15:04:11] === Stage 2 | flache Bahn Reward | lr=1e-5 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1_checkpoints/ckpt_9000000_steps
  model params: 622,607

  step= 4401408 | eps/s=  4564 | success= 30.9% | miss= 57.5% | elapsed=964.5s
  step= 4501440 | eps/s=  4561 | success= 30.9% | miss= 57.4% | elapsed=986.9s
  step= 4601472 | eps/s=  4560 | success= 31.3% | miss= 57.0% | elapsed=1009.2s
  step= 4701504 | eps/s=  4560 | success= 31.4% | miss= 57.5% | elapsed=1031.1s
  step= 4801536 | eps/s=  4554 | success= 31.5% | miss= 57.2% | elapsed=1054.3s
  step= 4901568 | eps/s=  4555 | success= 31.3% | miss= 57.3% | elapsed=1076.0s
  step= 5001600 | eps/s=  4556 | success= 31.3% | miss= 57.6% | elapsed=1097.8s
  step= 5101632 | eps/s=  4557 | success= 31.3% | miss= 57.3% | elapsed=1119.6s
  step= 5201664 | eps/s=  4557 | success= 31.6% | miss= 56.9% | elapsed=1141.6s
  step= 5301696 | eps/s=  4558 | success= 31.4% | miss= 57.2% | elapsed=1163.2s
  step= 5401728 | eps/s=  4559 | success= 31.2% | miss= 57.2% | elapsed=1185.0s
  step= 5501760 | eps/s=  4559 | success= 31.9% | miss= 56.9% | elapsed=1206.7s
  step= 5601792 | eps/s=  4559 | success= 31.6% | miss= 57.2% | elapsed=1228.6s
  step= 5701824 | eps/s=  4555 | success= 31.2% | miss= 57.3% | elapsed=1251.8s
  step= 5801856 | eps/s=  4555 | success= 31.6% | miss= 56.8% | elapsed=1273.7s
  step= 5901888 | eps/s=  4555 | success= 31.4% | miss= 56.9% | elapsed=1295.7s
  step= 6001920 | eps/s=  4555 | success= 31.1% | miss= 57.1% | elapsed=1317.6s
  step= 6101952 | eps/s=  4555 | success= 31.4% | miss= 56.8% | elapsed=1339.6s
  step= 6201984 | eps/s=  4555 | success= 31.3% | miss= 57.0% | elapsed=1361.5s
  step= 6302016 | eps/s=  4554 | success= 32.0% | miss= 56.8% | elapsed=1383.7s
