[17:49:55] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[17:49:57] 
[17:49:57] === Stage 1: Kein Spin | 20M Steps | lr=3e-4→1e-5 (decay) | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step=16105152 | eps/s=  4138 | success= 56.6% | miss= 34.4% | elapsed=3891.7s
  step=16205184 | eps/s=  4136 | success= 57.4% | miss= 33.9% | elapsed=3918.4s
  step=16305216 | eps/s=  4136 | success= 57.5% | miss= 33.6% | elapsed=3942.5s
  step=16405248 | eps/s=  4136 | success= 56.9% | miss= 33.5% | elapsed=3966.7s
  step=16505280 | eps/s=  4136 | success= 56.9% | miss= 33.0% | elapsed=3991.0s
  step=16605312 | eps/s=  4136 | success= 58.5% | miss= 32.4% | elapsed=4015.0s
  step=16705344 | eps/s=  4136 | success= 59.0% | miss= 32.0% | elapsed=4039.3s
  step=16805376 | eps/s=  4136 | success= 59.3% | miss= 31.7% | elapsed=4063.6s
  step=16905408 | eps/s=  4133 | success= 59.9% | miss= 31.4% | elapsed=4089.9s
  step=17005440 | eps/s=  4133 | success= 60.4% | miss= 31.3% | elapsed=4115.0s
  step=17105472 | eps/s=  4130 | success= 60.9% | miss= 31.1% | elapsed=4142.2s
  step=17205504 | eps/s=  4129 | success= 61.4% | miss= 30.5% | elapsed=4166.9s
  step=17305536 | eps/s=  4128 | success= 61.8% | miss= 30.3% | elapsed=4191.7s
  step=17405568 | eps/s=  4128 | success= 62.7% | miss= 29.8% | elapsed=4216.9s
  step=17505600 | eps/s=  4127 | success= 62.5% | miss= 29.8% | elapsed=4241.7s
  step=17605632 | eps/s=  4126 | success= 62.1% | miss= 29.6% | elapsed=4266.6s
  step=17705664 | eps/s=  4126 | success= 62.4% | miss= 29.3% | elapsed=4291.3s
  step=17805696 | eps/s=  4125 | success= 62.6% | miss= 28.6% | elapsed=4316.3s
