[09:56:26] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[09:56:28] 
[09:56:28] === Stage 1: Kein Spin | 10M Steps | lr=3e-4 | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=10000000
  policy=MLP [512, 512]

  model params: 622,607

  step= 1356480 | eps/s=  4003 | success=  0.3% | miss= 90.9% | elapsed=338.9s
  step= 1366528 | eps/s=  3993 | success=  0.2% | miss= 91.9% | elapsed=342.2s
  step= 1376576 | eps/s=  3982 | success=  0.2% | miss= 91.7% | elapsed=345.7s
  step= 1386624 | eps/s=  4001 | success=  0.4% | miss= 91.4% | elapsed=346.6s
  step= 1396672 | eps/s=  3991 | success=  0.3% | miss= 90.8% | elapsed=349.9s
  step= 1406720 | eps/s=  4010 | success=  0.3% | miss= 91.0% | elapsed=350.8s
  step= 1416768 | eps/s=  4003 | success=  0.2% | miss= 91.5% | elapsed=354.0s
  step= 1426816 | eps/s=  3992 | success=  0.3% | miss= 91.3% | elapsed=357.4s
  step= 1436864 | eps/s=  4011 | success=  0.4% | miss= 90.4% | elapsed=358.3s
  step= 1446912 | eps/s=  4000 | success=  0.3% | miss= 91.1% | elapsed=361.7s
  step= 1456960 | eps/s=  4018 | success=  0.4% | miss= 90.7% | elapsed=362.6s
  step= 1467008 | eps/s=  4006 | success=  0.4% | miss= 90.4% | elapsed=366.2s
  step= 1477056 | eps/s=  3996 | success=  0.2% | miss= 91.3% | elapsed=369.6s
  step= 1487104 | eps/s=  4014 | success=  0.3% | miss= 90.5% | elapsed=370.5s
  step= 1497152 | eps/s=  4003 | success=  0.3% | miss= 90.7% | elapsed=374.0s
  step= 1507200 | eps/s=  4021 | success=  0.3% | miss= 90.7% | elapsed=374.9s
  step= 1517248 | eps/s=  4011 | success=  0.4% | miss= 90.4% | elapsed=378.3s
  step= 1527296 | eps/s=  4001 | success=  0.3% | miss= 90.3% | elapsed=381.7s
  step= 1537344 | eps/s=  4018 | success=  0.4% | miss= 90.0% | elapsed=382.6s
  step= 1547392 | eps/s=  4010 | success=  0.3% | miss= 90.4% | elapsed=385.9s
  step= 1557440 | eps/s=  4004 | success=  0.4% | miss= 90.2% | elapsed=389.0s
  step= 1567488 | eps/s=  4021 | success=  0.3% | miss= 90.8% | elapsed=389.9s
  step= 1577536 | eps/s=  4011 | success=  0.3% | miss= 90.4% | elapsed=393.3s
  step= 1587584 | eps/s=  4028 | success=  0.3% | miss= 90.0% | elapsed=394.2s
  step= 1597632 | eps/s=  4019 | success=  0.4% | miss= 89.9% | elapsed=397.5s
  step= 1607680 | eps/s=  4012 | success=  0.4% | miss= 90.1% | elapsed=400.8s
  step= 1617728 | eps/s=  4028 | success=  0.4% | miss= 90.4% | elapsed=401.6s
  step= 1627776 | eps/s=  4018 | success=  0.3% | miss= 90.2% | elapsed=405.2s
  step= 1637824 | eps/s=  4034 | success=  0.4% | miss= 90.1% | elapsed=406.0s
  step= 1647872 | eps/s=  4026 | success=  0.5% | miss= 89.2% | elapsed=409.3s
  step= 1657920 | eps/s=  4017 | success=  0.4% | miss= 89.4% | elapsed=412.7s
  step= 1667968 | eps/s=  4032 | success=  0.4% | miss= 89.4% | elapsed=413.7s
  step= 1678016 | eps/s=  4023 | success=  0.4% | miss= 88.7% | elapsed=417.1s
  step= 1688064 | eps/s=  4015 | success=  0.3% | miss= 89.5% | elapsed=420.4s
  step= 1698112 | eps/s=  4030 | success=  0.4% | miss= 89.0% | elapsed=421.3s
  step= 1708160 | eps/s=  4023 | success=  0.4% | miss= 89.4% | elapsed=424.6s
  step= 1718208 | eps/s=  4038 | success=  0.5% | miss= 89.3% | elapsed=425.5s
  step= 1728256 | eps/s=  4034 | success=  0.4% | miss= 89.3% | elapsed=428.4s
  step= 1738304 | eps/s=  4026 | success=  0.5% | miss= 89.5% | elapsed=431.8s
  step= 1748352 | eps/s=  4041 | success=  0.3% | miss= 88.9% | elapsed=432.6s
  step= 1758400 | eps/s=  4033 | success=  0.5% | miss= 89.5% | elapsed=436.0s
  step= 1768448 | eps/s=  4048 | success=  0.4% | miss= 89.1% | elapsed=436.9s
  step= 1778496 | eps/s=  4039 | success=  0.3% | miss= 90.0% | elapsed=440.3s
  step= 1788544 | eps/s=  4033 | success=  0.4% | miss= 89.6% | elapsed=443.5s
  step= 1798592 | eps/s=  4048 | success=  0.5% | miss= 89.3% | elapsed=444.3s
  step= 1808640 | eps/s=  4039 | success=  0.3% | miss= 89.5% | elapsed=447.8s
  step= 1818688 | eps/s=  4031 | success=  0.4% | miss= 89.0% | elapsed=451.2s
