[13:34:43] === Stage 2 von ckpt_13000000 | lr=1e-5 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage2_checkpoints/ckpt_13000000_steps
  model params: 622,607

  step=16005120 | eps/s=  4791 | success= 85.6% | miss=  1.6% | elapsed=3340.4s
  step=16105152 | eps/s=  4792 | success= 85.6% | miss=  1.6% | elapsed=3361.0s
  step=16205184 | eps/s=  4791 | success= 85.6% | miss=  1.7% | elapsed=3382.3s
  step=16305216 | eps/s=  4791 | success= 85.8% | miss=  1.6% | elapsed=3403.1s
  step=16405248 | eps/s=  4791 | success= 85.6% | miss=  1.6% | elapsed=3423.8s
  step=16505280 | eps/s=  4792 | success= 86.0% | miss=  1.5% | elapsed=3444.5s
  step=16605312 | eps/s=  4792 | success= 85.6% | miss=  1.5% | elapsed=3465.3s
  step=16705344 | eps/s=  4793 | success= 85.7% | miss=  1.6% | elapsed=3485.3s
  step=16805376 | eps/s=  4793 | success= 85.7% | miss=  1.6% | elapsed=3506.4s
  step=16905408 | eps/s=  4794 | success= 86.0% | miss=  1.6% | elapsed=3526.3s
  step=17005440 | eps/s=  4797 | success= 85.8% | miss=  1.6% | elapsed=3545.2s
  step=17105472 | eps/s=  4796 | success= 86.2% | miss=  1.6% | elapsed=3566.4s
  step=17205504 | eps/s=  4796 | success= 86.0% | miss=  1.6% | elapsed=3587.1s
  step=17305536 | eps/s=  4797 | success= 86.1% | miss=  1.7% | elapsed=3607.5s
  step=17405568 | eps/s=  4797 | success= 85.9% | miss=  1.6% | elapsed=3628.3s
  step=17505600 | eps/s=  4797 | success= 85.9% | miss=  1.6% | elapsed=3649.4s
  step=17605632 | eps/s=  4797 | success= 86.4% | miss=  1.5% | elapsed=3670.1s
  step=17705664 | eps/s=  4797 | success= 86.1% | miss=  1.5% | elapsed=3691.0s
  step=17805696 | eps/s=  4799 | success= 86.3% | miss=  1.5% | elapsed=3710.1s
  step=17905728 | eps/s=  4801 | success= 85.9% | miss=  1.5% | elapsed=3729.8s
  step=18005760 | eps/s=  4801 | success= 85.9% | miss=  1.6% | elapsed=3750.4s
  step=18105792 | eps/s=  4800 | success= 86.0% | miss=  1.5% | elapsed=3772.1s
  step=18205824 | eps/s=  4802 | success= 86.1% | miss=  1.4% | elapsed=3791.6s
  step=18305856 | eps/s=  4803 | success= 86.0% | miss=  1.5% | elapsed=3811.3s
  step=18405888 | eps/s=  4804 | success= 86.1% | miss=  1.6% | elapsed=3831.0s
  step=18505920 | eps/s=  4806 | success= 86.2% | miss=  1.5% | elapsed=3850.8s
  step=18605952 | eps/s=  4806 | success= 86.3% | miss=  1.6% | elapsed=3871.0s
  step=18705984 | eps/s=  4808 | success= 86.6% | miss=  1.5% | elapsed=3890.9s
  step=18806016 | eps/s=  4809 | success= 86.5% | miss=  1.4% | elapsed=3910.5s
  step=18906048 | eps/s=  4810 | success= 86.6% | miss=  1.4% | elapsed=3930.9s
  step=19006080 | eps/s=  4809 | success= 86.3% | miss=  1.4% | elapsed=3951.8s
  step=19106112 | eps/s=  4811 | success= 86.7% | miss=  1.4% | elapsed=3971.5s
  step=19206144 | eps/s=  4813 | success= 86.2% | miss=  1.4% | elapsed=3990.4s
  step=19306176 | eps/s=  4813 | success= 86.0% | miss=  1.5% | elapsed=4011.1s
  step=19406208 | eps/s=  4814 | success= 86.4% | miss=  1.5% | elapsed=4031.1s
  step=19506240 | eps/s=  4814 | success= 86.7% | miss=  1.4% | elapsed=4051.7s
  step=19606272 | eps/s=  4814 | success= 86.6% | miss=  1.4% | elapsed=4072.3s
  step=19706304 | eps/s=  4815 | success= 86.3% | miss=  1.4% | elapsed=4093.0s
  step=19806336 | eps/s=  4815 | success= 86.8% | miss=  1.4% | elapsed=4113.1s
  step=19906368 | eps/s=  4815 | success= 86.4% | miss=  1.4% | elapsed=4133.9s

  Training complete in 4155.9s
  Avg throughput: 4812 timesteps/sec
  Model saved to models/ppo_stage2

=== Evaluation (100 episodes) ===
  success: 100%
  avg reward: 1.165
[14:44:08] === Stage 2 fertig. Starte Stage 3 | lr=5e-6 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=3
  total_timesteps=30000000
  policy=MLP [512, 512]

  lr=5e-06
  Loading pretrained model: models/ppo_stage2
  model params: 622,607

  step=  100032 | eps/s=  5659 | success= 64.3% | miss= 21.4% | elapsed= 17.7s
  step=  200064 | eps/s=  5019 | success= 66.9% | miss= 17.1% | elapsed= 39.9s
  step=  300096 | eps/s=  4941 | success= 69.0% | miss= 14.7% | elapsed= 60.7s
  step=  400128 | eps/s=  4808 | success= 70.7% | miss= 13.2% | elapsed= 83.2s
  step=  500160 | eps/s=  4759 | success= 72.5% | miss= 11.7% | elapsed=105.1s
  step=  600192 | eps/s=  4733 | success= 73.2% | miss= 11.0% | elapsed=126.8s
  step=  700224 | eps/s=  4712 | success= 73.6% | miss= 10.9% | elapsed=148.6s
  step=  800256 | eps/s=  4659 | success= 74.3% | miss= 10.4% | elapsed=171.8s
  step=  900288 | eps/s=  4617 | success= 74.8% | miss= 10.1% | elapsed=195.0s
  step= 1000320 | eps/s=  4540 | success= 75.3% | miss= 10.0% | elapsed=220.3s
  step= 1100352 | eps/s=  4503 | success= 75.3% | miss=  9.9% | elapsed=244.4s
  step= 1200384 | eps/s=  4470 | success= 75.5% | miss=  9.7% | elapsed=268.5s
  step= 1300416 | eps/s=  4469 | success= 75.9% | miss=  9.6% | elapsed=291.0s
  step= 1400448 | eps/s=  4450 | success= 76.1% | miss=  9.3% | elapsed=314.7s
  step= 1500480 | eps/s=  4449 | success= 76.0% | miss=  9.3% | elapsed=337.3s
  step= 1600512 | eps/s=  4434 | success= 76.3% | miss=  9.2% | elapsed=360.9s
  step= 1700544 | eps/s=  4440 | success= 76.8% | miss=  9.1% | elapsed=383.0s
  step= 1800576 | eps/s=  4436 | success= 76.9% | miss=  9.1% | elapsed=405.9s
  step= 1900608 | eps/s=  4404 | success= 76.5% | miss=  9.1% | elapsed=431.6s
  step= 2000640 | eps/s=  4400 | success= 76.7% | miss=  9.2% | elapsed=454.7s
  step= 2100672 | eps/s=  4384 | success= 76.8% | miss=  8.9% | elapsed=479.2s
  step= 2200704 | eps/s=  4387 | success= 77.2% | miss=  9.0% | elapsed=501.6s
  step= 2300736 | eps/s=  4374 | success= 77.1% | miss=  8.8% | elapsed=526.0s
  step= 2400768 | eps/s=  4368 | success= 77.2% | miss=  8.8% | elapsed=549.6s
  step= 2500800 | eps/s=  4371 | success= 77.5% | miss=  8.8% | elapsed=572.2s
  step= 2600832 | eps/s=  4370 | success= 77.1% | miss=  8.8% | elapsed=595.2s
  step= 2700864 | eps/s=  4357 | success= 77.4% | miss=  8.7% | elapsed=619.9s
  step= 2800896 | eps/s=  4352 | success= 77.9% | miss=  8.5% | elapsed=643.6s
  step= 2900928 | eps/s=  4340 | success= 77.6% | miss=  8.7% | elapsed=668.3s
  step= 3000960 | eps/s=  4327 | success= 77.9% | miss=  8.6% | elapsed=693.5s
  step= 3100992 | eps/s=  4321 | success= 77.9% | miss=  8.5% | elapsed=717.6s
  step= 3201024 | eps/s=  4319 | success= 78.1% | miss=  8.6% | elapsed=741.1s
  step= 3301056 | eps/s=  4321 | success= 77.9% | miss=  8.6% | elapsed=764.0s
  step= 3401088 | eps/s=  4319 | success= 78.0% | miss=  8.6% | elapsed=787.4s
  step= 3501120 | eps/s=  4318 | success= 78.0% | miss=  8.5% | elapsed=810.8s
  step= 3601152 | eps/s=  4317 | success= 78.3% | miss=  8.3% | elapsed=834.1s
Process ForkServerProcess-63:
Process ForkServerProcess-60:
Process ForkServerProcess-61:
Process ForkServerProcess-57:
Process ForkServerProcess-64:
Process ForkServerProcess-58:
Process ForkServerProcess-55:
Process ForkServerProcess-52:
Process ForkServerProcess-62:
Process ForkServerProcess-59:
Process ForkServerProcess-53:
Process ForkServerProcess-51:
Process ForkServerProcess-50:
Process ForkServerProcess-56:
Process ForkServerProcess-48:
Process ForkServerProcess-46:
Process ForkServerProcess-49:
Process ForkServerProcess-54:
Process ForkServerProcess-44:
Process ForkServerProcess-39:
Process ForkServerProcess-47:
Process ForkServerProcess-42:
Process ForkServerProcess-40:
Process ForkServerProcess-45:
Process ForkServerProcess-41:
Process ForkServerProcess-37:
Process ForkServerProcess-38:
Process ForkServerProcess-43:
Process ForkServerProcess-35:
Process ForkServerProcess-33:
Process ForkServerProcess-34:
Process ForkServerProcess-36:
Process ForkServerProcess-31:
Process ForkServerProcess-30:
Process ForkServerProcess-28:
Process ForkServerProcess-29:
Process ForkServerProcess-27:
Process ForkServerProcess-32:
Process ForkServerProcess-26:
Process ForkServerProcess-24:
Process ForkServerProcess-25:
Process ForkServerProcess-22:
Process ForkServerProcess-18:
Process ForkServerProcess-23:
Process ForkServerProcess-19:
Process ForkServerProcess-20:
Process ForkServerProcess-21:
Process ForkServerProcess-17:
Process ForkServerProcess-15:
Process ForkServerProcess-16:
Process ForkServerProcess-14:
Process ForkServerProcess-13:
Process ForkServerProcess-12:
Process ForkServerProcess-10:
Process ForkServerProcess-7:
Process ForkServerProcess-8:
Process ForkServerProcess-11:
Process ForkServerProcess-9:
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
Traceback (most recent call last):
