=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step=14004480 | eps/s=  4187 | success=  8.4% | miss= 46.4% | elapsed=3344.6s
  step=14104512 | eps/s=  4187 | success=  8.3% | miss= 46.3% | elapsed=3368.6s
  step=14204544 | eps/s=  4187 | success=  8.7% | miss= 45.2% | elapsed=3392.8s
  step=14304576 | eps/s=  4183 | success=  9.0% | miss= 44.2% | elapsed=3419.5s
  step=14404608 | eps/s=  4184 | success=  9.0% | miss= 44.2% | elapsed=3442.9s
  step=14504640 | eps/s=  4184 | success=  9.4% | miss= 43.4% | elapsed=3466.8s
  step=14604672 | eps/s=  4183 | success=  9.4% | miss= 43.0% | elapsed=3491.5s
  step=14704704 | eps/s=  4183 | success=  9.4% | miss= 43.2% | elapsed=3515.3s
  step=14804736 | eps/s=  4183 | success=  9.9% | miss= 41.8% | elapsed=3539.6s
  step=14904768 | eps/s=  4182 | success= 10.1% | miss= 41.1% | elapsed=3563.9s
  step=15004800 | eps/s=  4181 | success= 10.4% | miss= 40.5% | elapsed=3588.5s
  step=15104832 | eps/s=  4182 | success= 10.4% | miss= 40.1% | elapsed=3612.2s
  step=15204864 | eps/s=  4179 | success= 10.5% | miss= 39.7% | elapsed=3638.4s
  step=15304896 | eps/s=  4179 | success= 10.6% | miss= 39.3% | elapsed=3662.2s
  step=15404928 | eps/s=  4179 | success= 10.9% | miss= 38.8% | elapsed=3685.9s
  step=15504960 | eps/s=  4179 | success= 10.5% | miss= 39.7% | elapsed=3709.9s
  step=15604992 | eps/s=  4180 | success= 10.9% | miss= 39.1% | elapsed=3733.4s
  step=15705024 | eps/s=  4180 | success= 11.1% | miss= 37.9% | elapsed=3757.3s
  step=15805056 | eps/s=  4180 | success= 11.1% | miss= 37.8% | elapsed=3781.0s
  step=15905088 | eps/s=  4181 | success= 11.6% | miss= 37.1% | elapsed=3804.4s
  step=16005120 | eps/s=  4181 | success= 11.5% | miss= 37.4% | elapsed=3828.5s
  step=16105152 | eps/s=  4180 | success= 11.9% | miss= 36.5% | elapsed=3852.7s
  step=16205184 | eps/s=  4178 | success= 12.1% | miss= 36.2% | elapsed=3879.1s
  step=16305216 | eps/s=  4178 | success= 12.2% | miss= 36.0% | elapsed=3902.8s
  step=16405248 | eps/s=  4178 | success= 12.5% | miss= 35.4% | elapsed=3926.6s
  step=16505280 | eps/s=  4178 | success= 12.5% | miss= 35.4% | elapsed=3950.3s
  step=16605312 | eps/s=  4178 | success= 12.5% | miss= 34.8% | elapsed=3974.1s
  step=16705344 | eps/s=  4179 | success= 13.0% | miss= 34.4% | elapsed=3997.7s
  step=16805376 | eps/s=  4179 | success= 13.4% | miss= 33.7% | elapsed=4021.3s
  step=16905408 | eps/s=  4179 | success= 13.4% | miss= 33.4% | elapsed=4045.0s
  step=17005440 | eps/s=  4179 | success= 13.4% | miss= 32.9% | elapsed=4068.9s
  step=17105472 | eps/s=  4177 | success= 13.6% | miss= 33.1% | elapsed=4094.8s
  step=17205504 | eps/s=  4177 | success= 13.7% | miss= 32.6% | elapsed=4118.8s
  step=17305536 | eps/s=  4177 | success= 13.9% | miss= 32.1% | elapsed=4142.8s
  step=17405568 | eps/s=  4177 | success= 14.2% | miss= 31.8% | elapsed=4166.7s
  step=17505600 | eps/s=  4177 | success= 14.3% | miss= 31.4% | elapsed=4190.6s
  step=17605632 | eps/s=  4178 | success= 14.3% | miss= 31.1% | elapsed=4214.0s
  step=17705664 | eps/s=  4178 | success= 14.9% | miss= 30.8% | elapsed=4237.9s
  step=17805696 | eps/s=  4178 | success= 14.9% | miss= 30.2% | elapsed=4261.8s
  step=17905728 | eps/s=  4178 | success= 14.8% | miss= 30.3% | elapsed=4285.9s
  step=18005760 | eps/s=  4178 | success= 15.1% | miss= 29.8% | elapsed=4309.6s
  step=18105792 | eps/s=  4176 | success= 15.3% | miss= 29.5% | elapsed=4335.9s
  step=18205824 | eps/s=  4175 | success= 15.3% | miss= 29.6% | elapsed=4360.3s
  step=18305856 | eps/s=  4175 | success= 15.6% | miss= 29.2% | elapsed=4385.1s
  step=18405888 | eps/s=  4175 | success= 15.8% | miss= 28.9% | elapsed=4408.6s
  step=18505920 | eps/s=  4175 | success= 15.7% | miss= 28.8% | elapsed=4432.3s
  step=18605952 | eps/s=  4176 | success= 15.8% | miss= 28.7% | elapsed=4455.9s
  step=18705984 | eps/s=  4176 | success= 15.8% | miss= 28.3% | elapsed=4479.5s
  step=18806016 | eps/s=  4176 | success= 16.1% | miss= 28.2% | elapsed=4503.4s
  step=18906048 | eps/s=  4176 | success= 16.4% | miss= 28.0% | elapsed=4527.1s
  step=19006080 | eps/s=  4174 | success= 16.3% | miss= 27.8% | elapsed=4553.6s
  step=19106112 | eps/s=  4173 | success= 16.4% | miss= 27.7% | elapsed=4578.2s
  step=19206144 | eps/s=  4173 | success= 16.4% | miss= 27.5% | elapsed=4602.7s
  step=19306176 | eps/s=  4172 | success= 16.7% | miss= 27.3% | elapsed=4627.6s
  step=19406208 | eps/s=  4172 | success= 16.7% | miss= 27.4% | elapsed=4652.0s
  step=19506240 | eps/s=  4172 | success= 16.6% | miss= 26.9% | elapsed=4675.4s
  step=19606272 | eps/s=  4172 | success= 16.7% | miss= 26.9% | elapsed=4699.2s
  step=19706304 | eps/s=  4172 | success= 16.6% | miss= 26.9% | elapsed=4723.1s
  step=19806336 | eps/s=  4172 | success= 17.0% | miss= 26.8% | elapsed=4747.1s
  step=19906368 | eps/s=  4172 | success= 17.1% | miss= 26.8% | elapsed=4771.1s

  Training complete in 4798.0s
  Avg throughput: 4168 timesteps/sec
  Model saved to models/ppo_aggressive_stage1

=== Evaluation (100 episodes) ===
  success: 74%
  return_missed_table: 24%
  paddle_miss: 2%
  avg reward: 1.868
